DrugBank ID,Name,CAS Number,PubChem Compound ID,PubChem_CID,CAS_Rn0,CAS_Rn1,CAS_Rn2,CAS_Rn3,CAS_Rn4,CAS_Rn5,CAS_Rn6,CAS_Rn7,CAS_Rn8,CAS_Rn9,CAS_Rn10
DB00680,Moricizine,31883-05-3,34633.0,34633,31883-05-3,,,,,,,,,,
DB00681,Amphotericin B,1397-89-3,5280965.0,5280965,1397-89-330652-87-0,1397-89-3,12633-72-6,,,,,,,,
DB00682,Warfarin,81-81-2,54678486.0,54678486,81-81-2,,,,,,,,,,
DB00683,Midazolam,59467-70-8,4192.0,4192,59467-70-8,,,,,,,,,,
DB00684,Tobramycin,32986-56-4,36294.0,36294,32986-56-4,11048-13-8,49842-07-1,,,,,,,,
DB00685,Trovafloxacin,147059-72-1,62959.0,62959,147059-72-1,,,,,,,,,,
DB00686,Pentosan polysulfate,37300-21-3,37720.0,37720,37300-21-3,,,,,,,,,,
DB00687,Fludrocortisone,127-31-1,31378.0,31378,127-31-1,,,,,,,,,,
DB00688,Mycophenolate mofetil,128794-94-5,5281078.0,5281078,128794-94-5,115007-34-6,,,,,,,,,
DB00689,Cephaloglycin,3577-01-3,19150.0,19150,3577-01-3,,,,,,,,,,
DB00690,Flurazepam,17617-23-1,3393.0,3393,17617-23-1,,,,,,,,,,
DB00691,Moexipril,103775-10-6,91270.0,91270,103775-10-6,109715-88-0,,,,,,,,,
DB00692,Phentolamine,50-60-2,5775.0,5775,50-60-2,,,,,,,,,,
DB00693,Fluorescein,2321-07-5,16850.0,16850,2321-07-5,,,,,,,,,,
DB00694,Daunorubicin,20830-81-3,30323.0,30323,20830-81-3,,,,,,,,,,
DB00695,Furosemide,54-31-9,3440.0,3440,54-31-9,84931-49-7,106391-48-4,,,,,,,,
DB00696,Ergotamine,113-15-5,8223.0,8223,379-79-3,113-15-5,,,,,,,,,
DB00697,Tizanidine,51322-75-9,5487.0,5487,51322-75-9,,,,,,,,,,
DB00698,Nitrofurantoin,67-20-9,6604200.0,6604200,67-20-9,,,,,,,,,,
DB00699,Nicergoline,27848-84-6,34040.0,34040,27848-84-6,,,,,,,,,,
DB00700,Eplerenone,107724-20-9,443872.0,443872,107724-20-9,,,,,,,,,,
DB00701,Amprenavir,161814-49-9,65016.0,65016,161814-49-9,,,,,,,,,,
DB00703,Methazolamide,554-57-4,4100.0,4100,554-57-4,1164547-86-7,,,,,,,,,
DB00704,Naltrexone,16590-41-3,5360515.0,5360515,16590-41-3,,,,,,,,,,
DB00705,Delavirdine,136817-59-9,5625.0,5625,136817-59-9,,,,,,,,,,
DB00706,Tamsulosin,106133-20-4,129211.0,129211,106133-20-4,,,,,,,,,,
DB00708,Sufentanil,56030-54-7,41693.0,41693,56030-54-7,,,,,,,,,,
DB00709,Lamivudine,134678-17-4,60825.0,60825,134678-17-4,,,,,,,,,,
DB00710,Ibandronate,114084-78-5,60852.0,60852,114084-78-5,,,,,,,,,,
DB00711,Diethylcarbamazine,90-89-1,3052.0,3052,90-89-1,,,,,,,,,,
DB00712,Flurbiprofen,5104-49-4,3394.0,3394,5104-49-4,51543-38-5,,,,,,,,,
DB00713,Oxacillin,66-79-5,6196.0,6196,66-79-5,1173-88-2,7240-38-2,,,,,,,,
DB00714,Apomorphine,58-00-4,6005.0,6005,58-00-4,314-19-2,41372-20-7,,,,,,,,
DB00715,Paroxetine,61869-08-7,43815.0,43815,61869-08-7,110429-35-1,,,,,,,,,
DB00716,Nedocromil,69049-73-6,50294.0,50294,69049-73-6,,,,,,,,,,
DB00717,Norethisterone,68-22-4,6230.0,6230,68-22-4,,,,,,,,,,
DB00718,Adefovir dipivoxil,142340-99-6,60871.0,60871,142340-99-6,,,,,,,,,,
DB00719,Azatadine,3964-81-6,19861.0,19861,3964-81-6,,,,,,,,,,
DB00720,Clodronic acid,10596-23-3,25419.0,25419,10596-23-3,88416-50-6,,,,,,,,,
DB00721,Procaine,59-46-1,4914.0,4914,59-46-1,,,,,,,,,,
DB00722,Lisinopril,76547-98-3,5362119.0,5362119,76547-98-3,77726-95-5,83915-83-7,,,,,,,,
DB00723,Methoxamine,390-28-3,6082.0,6082,390-28-3,,,,,,,,,,
DB00724,Imiquimod,99011-02-6,57469.0,57469,99011-02-6,9050-31-1,,,,,,,,,
DB00725,Homatropine methylbromide,80-49-9,6646.0,6646,80-49-9,,,,,,,,,,
DB00726,Trimipramine,739-71-9,5584.0,5584,3564-75-8,739-71-9,3564-66-7,,,,,,,,
DB00727,Nitroglycerin,55-63-0,4510.0,4510,55-63-0,,,,,,,,,,
DB00728,Rocuronium,143558-00-3,441290.0,441290,143558-00-3,119302-91-9,,,,,,,,,
DB00730,Thiabendazole,148-79-8,5430.0,5430,148-79-8,,,,,,,,,,
DB00731,Nateglinide,105816-04-4,5311309.0,5311309,105816-04-4,,,,,,,,,,
DB00732,Atracurium besylate,64228-81-5,47320.0,47320,64228-81-5,96946-42-8,,,,,,,,,
DB00733,Pralidoxime,6735-59-7,5353894.0,135398747,6735-59-7,45765-69-3,25615-00-3,,,,,,,,
DB00734,Risperidone,106266-06-2,5073.0,5073,106266-06-2,,,,,,,,,,
DB00735,Naftifine,65472-88-0,73342.0,73342,65472-88-0,,,,,,,,,,
DB00736,Esomeprazole,119141-88-7,9568614.0,9568614,119141-88-7,,,,,,,,,,
DB00737,Meclizine,569-65-3,4034.0,4034,569-65-3,163837-49-8,,,,,,,,,
DB00738,Pentamidine,100-33-4,4735.0,4735,100-33-4,,,,,,,,,,
DB00739,Hetacillin,3511-16-8,443387.0,443387,3511-16-8,,,,,,,,,,
DB00740,Riluzole,1744-22-5,5070.0,5070,1744-22-5,,,,,,,,,,
DB00741,Hydrocortisone,50-23-7,5754.0,5754,50-23-7,,,,,,,,,,
DB00742,Mannitol,69-65-8,6251.0,6251,69-65-8,87-78-5,,,,,,,,,
DB00743,Gadobenic acid,113662-23-0,131704172.0,131704172,113662-23-0,,,,,,,,,,
DB00744,Zileuton,111406-87-2,60490.0,60490,111406-87-2,142606-21-1,143200-94-6,,,,,,,,
DB00745,Modafinil,68693-11-8,4236.0,4236,68693-11-8,112111-43-0,,,,,,,,,
DB00746,Deferoxamine,70-51-9,2973.0,2973,70-51-9,,,,,,,,,,
DB00747,Scopolamine,51-34-3,3000322.0,3000322,114-49-8,51-34-3,672-21-9,6533-68-2,,,,,,,
DB00748,Carbinoxamine,486-16-8,2564.0,2564,486-16-8,,,,,,,,,,
DB00749,Etodolac,41340-25-4,3308.0,3308,41340-25-4,,,,,,,,,,
DB00750,Prilocaine,721-50-6,4906.0,4906,721-50-6,,,,,,,,,,
DB00751,Epinastine,80012-43-7,3241.0,3241,80012-43-7,,,,,,,,,,
DB00752,Tranylcypromine,155-09-9,5530.0,5530,155-09-9,3721-28-6,,,,,,,,,
DB00753,Isoflurane,26675-46-7,3763.0,3763,26675-46-7,,,,,,,,,,
DB00754,Ethotoin,86-35-1,3292.0,3292,86-35-1,,,,,,,,,,
DB00755,Tretinoin,302-79-4,5538.0,444795,302-79-4,97950-17-9,,,,,,,,,
DB00756,Hexachlorophene,70-30-4,3598.0,3598,70-30-4,,,,,,,,,,
DB00757,Dolasetron,115956-12-2,3033818.0,3033818,115956-12-2,115956-13-3,,,,,,,,,
DB00758,Clopidogrel,113665-84-2,60606.0,60606,113665-84-2,120202-66-6,,,,,,,,,
DB00759,Tetracycline,60-54-8,54675776.0,54675776,60-54-8,,,,,,,,,,
DB00760,Meropenem,96036-03-2,441130.0,441130,96036-03-2,119478-56-7,,,,,,,,,
DB00761,Potassium chloride,7447-40-7,4873.0,4873,7447-40-7,14336-88-0,,,,,,,,,
DB00762,Irinotecan,97682-44-5,60838.0,60838,97682-44-5,100286-90-6,,,,,,,,,
DB00763,Methimazole,60-56-0,1349907.0,1349907,60-56-0,,,,,,,,,,
DB00765,Metyrosine,672-87-7,441350.0,441350,672-87-7,,,,,,,,,,
DB00766,Clavulanic acid,58001-44-8,5280980.0,5280980,58001-44-8,,,,,,,,,,
DB00768,Olopatadine,113806-05-6,5281071.0,5281071,113806-05-6,,,,,,,,,,
DB00769,Hydrocortamate,76-47-1,84088.0,84088,76-47-1,,,,,,,,,,
DB00770,Alprostadil,745-65-3,149351.0,5280723,745-65-3,119314-69-1,,,,,,,,,
DB00771,Clidinium,7020-55-5,2784.0,2784,7020-55-5,,,,,,,,,,
DB00772,Malathion,121-75-5,4004.0,4004,121-75-5,,,,,,,,,,
DB00773,Etoposide,33419-42-0,36462.0,36462,33419-42-0,,,,,,,,,,
DB00774,Hydroflumethiazide,135-09-1,3647.0,3647,135-09-1,,,,,,,,,,
DB00775,Tirofiban,144494-65-5,60947.0,60947,144494-65-5,,,,,,,,,,
DB00776,Oxcarbazepine,28721-07-5,34312.0,34312,28721-07-5,,,,,,,,,,
DB00777,Propiomazine,362-29-8,4940.0,4940,362-29-8,,,,,,,,,,
DB00778,Roxithromycin,80214-83-1,6915744.0,6915744,80214-83-1,,,,,,,,,,
DB00779,Nalidixic acid,389-08-2,4421.0,4421,389-08-2,,,,,,,,,,
DB00780,Phenelzine,51-71-8,3675.0,3675,51-71-8,,,,,,,,,,
DB00782,Propantheline,298-50-0,4934.0,4934,298-50-0,,,,,,,,,,
DB00783,Estradiol,50-28-2,5757.0,5757,17916-67-5,50-28-2,35380-71-3,73459-61-7,,,,,,,
DB00784,Mefenamic acid,61-68-7,4044.0,4044,61-68-7,,,,,,,,,,
DB00787,Acyclovir,59277-89-3,2022.0,135398513,59277-89-3,,,,,,,,,,
DB00788,Naproxen,22204-53-1,156391.0,156391,22204-53-1,26159-31-9,,,,,,,,,
DB00789,Gadopentetic acid,80529-93-7,55466.0,6857474,80529-93-7,,,,,,,,,,
DB00790,Perindopril,82834-16-0,107807.0,107807,82834-16-0,107133-36-8,,,,,,,,,
DB00791,Uracil mustard,66-75-1,6194.0,6194,66-75-1,,,,,,,,,,
DB00792,Tripelennamine,91-81-6,5587.0,5587,91-81-6,,,,,,,,,,
DB00793,Haloprogin,777-11-7,3561.0,3561,777-11-7,,,,,,,,,,
DB00794,Primidone,125-33-7,4909.0,4909,125-33-7,,,,,,,,,,
DB00795,Sulfasalazine,599-79-1,5359476.0,5339,599-79-1,,,,,,,,,,
DB00796,Candesartan cilexetil,145040-37-5,2540.0,2540,145040-37-5,,,,,,,,,,
DB00797,Tolazoline,59-98-3,5504.0,5504,59-98-3,,,,,,,,,,
DB00798,Gentamicin,1403-66-3,3467.0,3467,1403-66-3,,,,,,,,,,
DB00799,Tazarotene,118292-40-3,5381.0,5381,118292-40-3,,,,,,,,,,
DB00800,Fenoldopam,67227-56-9,3341.0,3341,67227-56-9,67227-57-0,,,,,,,,,
DB00801,Halazepam,23092-17-3,31640.0,31640,23092-17-3,,,,,,,,,,
DB00802,Alfentanil,71195-58-9,51263.0,51263,71195-58-9,,,,,,,,,,
DB00803,Colistin,1066-17-7,131704173.0,44144393,1066-17-7,,,,,,,,,,
DB00804,Dicyclomine,77-19-0,3042.0,3042,77-19-0,67-92-5,,,,,,,,,
DB00805,Minaprine,25905-77-5,4199.0,4199,25905-77-5,,,,,,,,,,
DB00806,Pentoxifylline,6493-05-6,4740.0,4740,6493-05-6,,,,,,,,,,
DB00807,Proparacaine,499-67-2,4935.0,4935,499-67-2,,,,,,,,,,
DB00808,Indapamide,26807-65-8,3702.0,3702,26807-65-8,,,,,,,,,,
DB00809,Tropicamide,1508-75-4,5593.0,5593,1508-75-4,,,,,,,,,,
DB00810,Biperiden,514-65-8,2381.0,2381,514-65-8,1235-82-1,,,,,,,,,
DB00811,Ribavirin,36791-04-5,37542.0,37542,36791-04-5,252269-50-4,,,,,,,,,
DB00812,Phenylbutazone,50-33-9,4781.0,4781,50-33-9,,,,,,,,,,
DB00813,Fentanyl,437-38-7,3345.0,3345,437-38-7,,,,,,,,,,
DB00814,Meloxicam,71125-38-7,54677470.0,54677470,71125-38-7,,,,,,,,,,
DB00816,Orciprenaline,586-06-1,4086.0,4086,586-06-1,,,,,,,,,,
DB00817,Rosoxacin,40034-42-2,287180.0,287180,40034-42-2,,,,,,,,,,
DB00818,Propofol,2078-54-8,4943.0,4943,2078-54-8,,,,,,,,,,
DB00819,Acetazolamide,59-66-5,1986.0,1986,59-66-5,,,,,,,,,,
DB00820,Tadalafil,171596-29-5,110635.0,110635,171596-29-5,,,,,,,,,,
DB00821,Carprofen,53716-49-7,2581.0,2581,53716-49-7,,,,,,,,,,
DB00822,Disulfiram,97-77-8,3117.0,3117,97-77-8,,,,,,,,,,
DB00823,Ethynodiol diacetate,297-76-7,9270.0,9270,297-76-7,,,,,,,,,,
DB00824,Enprofylline,41078-02-8,1676.0,1676,41078-02-8,,,,,,,,,,
DB00825,Levomenthol,2216-51-5,16666.0,16666,89-78-1,2216-51-5,,,,,,,,,
DB00826,Natamycin,7681-93-8,5284447.0,5284447,7681-93-8,,,,,,,,,,
DB00827,Cinoxacin,28657-80-9,2762.0,2762,28657-80-9,,,,,,,,,,
DB00828,Fosfomycin,23155-02-4,446987.0,446987,23155-02-4,,,,,,,,,,
DB00829,Diazepam,439-14-5,3016.0,3016,439-14-5,,,,,,,,,,
DB00830,Phenmetrazine,134-49-6,4762.0,4762,134-49-6,,,,,,,,,,
DB00831,Trifluoperazine,117-89-5,5566.0,5566,117-89-5,,,,,,,,,,
DB00832,Phensuximide,86-34-0,6839.0,6839,86-34-0,,,,,,,,,,
DB00833,Cefaclor,53994-73-3,51039.0,51039,53994-73-3,70356-03-5,,,,,,,,,
DB00834,Mifepristone,84371-65-3,55245.0,55245,84371-65-3,,,,,,,,,,
DB00835,Brompheniramine,86-22-6,6834.0,6834,86-22-6,,,,,,,,,,
DB00836,Loperamide,53179-11-6,3955.0,3955,53179-11-6,,,,,,,,,,
DB00838,Clocortolone,4828-27-7,5311052.0,5311052,4828-27-7,34097-16-0,,,,,,,,,
DB00839,Tolazamide,1156-19-0,5503.0,5503,1156-19-0,,,,,,,,,,
DB00841,Dobutamine,34368-04-2,36811.0,36811,34368-04-2,,,,,,,,,,
DB00842,Oxazepam,604-75-1,4616.0,4616,604-75-1,,,,,,,,,,
DB00843,Donepezil,120014-06-4,3152.0,3152,120014-06-4,,,,,,,,,,
DB00844,Nalbuphine,20594-83-6,5311304.0,5311304,20594-83-6,,,,,,,,,,
DB00845,Clofazimine,2030-63-9,2794.0,2794,2030-63-9,,,,,,,,,,
DB00846,Flurandrenolide,1524-88-5,15209.0,15209,1524-88-5,,,,,,,,,,
DB00847,Cysteamine,60-23-1,6058.0,6058,60-23-1,,,,,,,,,,
DB00848,Levamisole,14769-73-4,26879.0,26879,14769-73-4,,,,,,,,,,
DB00849,Methylphenobarbital,115-38-8,8271.0,8271,115-38-8,,,,,,,,,,
DB00850,Perphenazine,58-39-9,4748.0,4748,58-39-9,130-69-8,5352-90-9,,,,,,,,
DB00851,Dacarbazine,4342-03-4,5351166.0,135398738,4342-03-4,94361-71-4,,,,,,,,,
DB00852,Pseudoephedrine,90-82-4,7028.0,7028,90-82-4,,,,,,,,,,
DB00853,Temozolomide,85622-93-1,5394.0,5394,85622-93-1,,,,,,,,,,
DB00854,Levorphanol,77-07-6,5359272.0,5359272,297-90-5,77-07-6,,,,,,,,,
DB00855,Aminolevulinic acid,106-60-5,137.0,137,106-60-5,,,,,,,,,,
DB00856,Chlorphenesin,104-29-0,7697.0,7697,104-29-0,,,,,,,,,,
DB00857,Terbinafine,91161-71-6,1549008.0,1549008,91161-71-6,,,,,,,,,,
DB00859,Penicillamine,52-67-5,5852.0,5852,771431-20-0,52-67-5,,,,,,,,,
DB00860,Prednisolone,50-24-8,5755.0,5755,50-24-8,,,,,,,,,,
DB00861,Diflunisal,22494-42-4,3059.0,3059,22494-42-4,,,,,,,,,,
DB00862,Vardenafil,224785-90-4,110634.0,135400189,224785-90-4,,,,,,,,,,
DB00863,Ranitidine,66357-35-5,3001055.0,5039,66357-35-5,,,,,,,,,,
DB00864,Tacrolimus,104987-11-3,445643.0,445643,104987-11-3,109581-93-3,,,,,,,,,
DB00865,Benzphetamine,156-08-1,5311017.0,5311017,156-08-1,,,,,,,,,,
DB00867,Ritodrine,26652-09-5,33572.0,33572,26652-09-5,23239-51-2,,,,,,,,,
DB00868,Benzonatate,104-31-4,7699.0,7699,104-31-4,,,,,,,,,,
DB00869,Dorzolamide,120279-96-1,5284549.0,5284549,120279-96-1,,,,,,,,,,
DB00870,Suprofen,40828-46-4,5359.0,5359,40828-46-4,,,,,,,,,,
DB00871,Terbutaline,23031-25-6,5403.0,5403,23031-25-6,46719-29-3,,,,,,,,,
DB00872,Conivaptan,210101-16-9,151171.0,151171,210101-16-9,,,,,,,,,,
DB14596,Loteprednol etabonate,82034-46-6,9865442.0,444025,82034-46-6,,,,,,,,,,
DB00874,Guaifenesin,93-14-1,3516.0,3516,93-14-1,,,,,,,,,,
DB00875,Flupentixol,2709-56-0,5281881.0,5281881,53772-82-0,2709-56-0,,,,,,,,,
DB00876,Eprosartan,133040-01-4,5281037.0,5281037,133040-01-4,,,,,,,,,,
DB00877,Sirolimus,53123-88-9,5284616.0,5284616,53123-88-9,,,,,,,,,,
DB00878,Chlorhexidine,55-56-1,9552079.0,9552079,55-56-1,56-95-1,3697-42-5,,,,,,,,
DB00879,Emtricitabine,143491-57-0,60877.0,60877,143491-57-0,143491-54-7,,,,,,,,,
DB00880,Chlorothiazide,58-94-6,2720.0,2720,58-94-6,,,,,,,,,,
DB00881,Quinapril,85441-61-8,54892.0,54892,85441-61-8,,,,,,,,,,
DB00882,Clomifene,911-45-5,2800.0,2800,911-45-5,15690-57-0,,,,,,,,,
DB00883,Isosorbide dinitrate,87-33-2,6883.0,6883,87-33-2,,,,,,,,,,
DB00884,Risedronic acid,105462-24-6,5245.0,5245,105462-24-6,115436-72-1,,,,,,,,,
DB00885,Pemirolast,69372-19-6,57697.0,57697,69372-19-6,100299-08-9,,,,,,,,,
DB00887,Bumetanide,28395-03-1,2471.0,2471,28395-03-1,,,,,,,,,,
DB00888,Mechlorethamine,51-75-2,4033.0,4033,51-75-2,,,,,,,,,,
DB00889,Granisetron,109889-09-0,5284566.0,5284566,109889-09-0,,,,,,,,,,
DB00890,Dienestrol,13029-44-2,667476.0,667476,13029-44-2,84-17-3,,,,,,,,,
DB00891,Sulfapyridine,144-83-2,5336.0,5336,144-83-2,,,,,,,,,,
DB00892,Oxybuprocaine,99-43-4,4633.0,4633,99-43-4,,,,,,,,,,
DB00894,Testolactone,968-93-4,13769.0,13769,968-93-4,,,,,,,,,,
DB00896,Rimexolone,49697-38-3,5311412.0,5311412,49697-38-3,,,,,,,,,,
DB00897,Triazolam,28911-01-5,5556.0,5556,28911-01-5,,,,,,,,,,
DB00898,Ethanol,64-17-5,702.0,702,64-17-5,68475-56-9,71329-38-9,,,,,,,,
DB00899,Remifentanil,132875-61-7,60815.0,60815,132875-61-7,,,,,,,,,,
DB00900,Didanosine,69655-05-6,50599.0,135398739,69655-05-6,,,,,,,,,,
DB00902,Methdilazine,1982-37-2,14677.0,14677,1982-37-2,,,,,,,,,,
DB00903,Etacrynic acid,58-54-8,3278.0,3278,58-54-8,,,,,,,,,,
DB00904,Ondansetron,99614-02-5,4595.0,4595,99614-02-5,99614-01-4,103639-04-9,,,,,,,,
DB00905,Bimatoprost,155206-00-1,5311027.0,5311027,155206-00-1,,,,,,,,,,
DB00906,Tiagabine,115103-54-3,60648.0,60648,115103-54-3,,,,,,,,,,
DB00907,Cocaine,50-36-2,446220.0,446220,50-36-2,,,,,,,,,,
DB00908,Quinidine,56-54-2,441074.0,441074,56-54-2,,,,,,,,,,
DB00909,Zonisamide,68291-97-4,5734.0,5734,68291-97-4,,,,,,,,,,
DB00910,Paricalcitol,131918-61-1,5281104.0,5281104,131918-61-1,,,,,,,,,,
DB00911,Tinidazole,19387-91-8,5479.0,5479,148159-84-6,19387-91-8,,,,,,,,,
DB00912,Repaglinide,135062-02-1,65981.0,65981,135062-02-1,,,,,,,,,,
DB00913,Anileridine,144-14-9,8944.0,8944,144-14-9,,,,,,,,,,
DB00914,Phenformin,114-86-3,8249.0,8249,114-86-3,,,,,,,,,,
DB00915,Amantadine,768-94-5,2130.0,2130,768-94-5,,,,,,,,,,
DB00916,Metronidazole,443-48-1,4173.0,4173,443-48-1,56010-45-8,99616-64-5,,,,,,,,
DB00917,Dinoprostone,363-24-6,5280360.0,5280360,363-24-6,,,,,,,,,,
DB00918,Almotriptan,154323-57-6,123606.0,123606,154323-57-6,181183-52-8,,,,,,,,,
DB00919,Spectinomycin,1695-77-8,15541.0,15541,1695-77-8,21736-83-4,22189-32-8,,,,,,,,
DB00920,Ketotifen,34580-13-7,3827.0,3827,34580-13-7,34580-14-8,,,,,,,,,
DB00921,Buprenorphine,52485-79-7,644073.0,644073,52485-79-7,,,,,,,,,,
DB00922,Levosimendan,141505-33-1,3033825.0,3033825,141505-33-1,,,,,,,,,,
DB00923,Ceforanide,60925-61-3,43507.0,43507,60925-61-3,,,,,,,,,,
DB00924,Cyclobenzaprine,303-53-7,2895.0,2895,303-53-7,,,,,,,,,,
DB00925,Phenoxybenzamine,59-96-1,4768.0,4768,59-96-1,,,,,,,,,,
DB00927,Famotidine,76824-35-6,3325.0,3325,76824-35-6,,,,,,,,,,
DB00928,Azacitidine,320-67-2,9444.0,9444,320-67-2,,,,,,,,,,
DB00929,Misoprostol,59122-46-2,5282381.0,5282381,59122-46-2,,,,,,,,,,
DB00931,Metacycline,914-00-1,54675785.0,54675785,914-00-1,3963-95-9,,,,,,,,,
DB00932,Tipranavir,174484-41-4,54682461.0,54682461,174484-41-4,,,,,,,,,,
DB00933,Mesoridazine,5588-33-0,4078.0,4078,5588-33-0,,,,,,,,,,
DB00934,Maprotiline,10262-69-8,4011.0,4011,10262-69-8,,,,,,,,,,
DB00935,Oxymetazoline,1491-59-4,4636.0,4636,1491-59-4,,,,,,,,,,
DB00936,Salicylic acid,69-72-7,338.0,338,69-72-7,,,,,,,,,,
DB00937,Diethylpropion,90-84-6,7029.0,7029,90-84-6,134-80-5,,,,,,,,,
DB00938,Salmeterol,89365-50-4,5152.0,5152,89365-50-4,,,,,,,,,,
DB00939,Meclofenamic acid,644-62-2,4037.0,4037,644-62-2,,,,,,,,,,
DB00940,Methantheline,5818-17-7,4097.0,4097,5818-17-7,,,,,,,,,,
DB00941,Hexafluronium,4844-10-4,3601.0,3601,4844-10-4,,,,,,,,,,
DB00942,Cycrimine,77-39-4,2911.0,2911,77-39-4,,,,,,,,,,
DB00943,Zalcitabine,7481-89-2,24066.0,24066,7481-89-2,,,,,,,,,,
DB00944,Demecarium,16505-84-3,5966.0,5966,16505-84-3,56-94-0,,,,,,,,,
DB00945,Acetylsalicylic acid,50-78-2,2244.0,2244,50-78-2,,,,,,,,,,
DB00946,Phenprocoumon,435-97-2,54680692.0,54680692,435-97-2,,,,,,,,,,
DB00947,Fulvestrant,129453-61-8,17756771.0,104741,129453-61-8,,,,,,,,,,
DB00948,Mezlocillin,51481-65-3,656511.0,656511,51481-65-3,,,,,,,,,,
DB00949,Felbamate,25451-15-4,3331.0,3331,25451-15-4,,,,,,,,,,
DB00950,Fexofenadine,83799-24-0,3348.0,3348,83799-24-0,,,,,,,,,,
DB00951,Isoniazid,54-85-3,3767.0,3767,54-85-3,,,,,,,,,,
DB00952,Naratriptan,121679-13-8,4440.0,4440,121679-13-8,,,,,,,,,,
DB00953,Rizatriptan,144034-80-0,5078.0,5078,144034-80-0,145202-66-0,,,,,,,,,
DB00955,Netilmicin,56391-56-1,441306.0,441306,56391-56-1,56391-57-2,,,,,,,,,
DB00956,Hydrocodone,125-29-1,5284569.0,5284569,125-29-1,,,,,,,,,,
DB00957,Norgestimate,35189-28-7,6540478.0,6540478,20799-27-3,35189-28-7,,,,,,,,,
DB00958,Carboplatin,41575-94-4,38904.0,5352133,41575-94-4,,,,,,,,,,
DB00959,Methylprednisolone,83-43-2,6741.0,6741,83-43-2,,,,,,,,,,
DB00960,Pindolol,13523-86-9,4828.0,4828,13523-86-9,,,,,,,,,,
DB00961,Mepivacaine,96-88-8,4062.0,4062,96-88-8,,,,,,,,,,
DB00962,Zaleplon,151319-34-5,5719.0,5719,151319-34-5,,,,,,,,,,
DB00963,Bromfenac,91714-94-2,60726.0,60726,91714-94-2,,,,,,,,,,
DB00964,Apraclonidine,66711-21-5,2216.0,2216,66711-21-5,,,,,,,,,,
DB00966,Telmisartan,144701-48-4,65999.0,65999,144701-48-4,,,,,,,,,,
DB00967,Desloratadine,100643-71-8,124087.0,124087,100643-71-8,,,,,,,,,,
DB00968,Methyldopa,555-30-6,38853.0,38853,555-30-6,555-29-3,41372-08-1,,,,,,,,
DB00969,Alosetron,122852-42-0,2099.0,2099,122852-42-0,,,,,,,,,,
DB00970,Dactinomycin,50-76-0,457193.0,457193,50-76-0,,,,,,,,,,
DB00971,Selenium Sulfide,7488-56-4,24087.0,24087,7488-56-4,,,,,,,,,,
DB00972,Azelastine,58581-89-8,2267.0,2267,58581-89-8,,,,,,,,,,
DB00973,Ezetimibe,163222-33-1,150311.0,150311,163222-33-1,,,,,,,,,,
DB00974,Edetic acid,60-00-4,6049.0,6049,60-00-4,139-33-3,150-43-6,688-55-1,6381-92-6,53632-26-1,62-33-9,,,,
DB00975,Dipyridamole,58-32-2,3108.0,3108,58-32-2,,,,,,,,,,
DB00976,Telithromycin,191114-48-4,3002190.0,3002190,191114-48-4,,,,,,,,,,
DB00977,Ethinylestradiol,57-63-6,5991.0,5991,57-63-6,,,,,,,,,,
DB00978,Lomefloxacin,98079-51-7,3948.0,3948,98079-51-7,,,,,,,,,,
DB00979,Cyclopentolate,512-15-2,2905.0,2905,512-15-2,,,,,,,,,,
DB00980,Ramelteon,196597-26-9,208902.0,208902,196597-26-9,,,,,,,,,,
DB00981,Physostigmine,57-47-6,5983.0,5983,57-47-6,,,,,,,,,,
DB00982,Isotretinoin,4759-48-2,5282379.0,5282379,4759-48-2,,,,,,,,,,
DB00983,Formoterol,73573-87-2,3410.0,3410,43229-80-7,73573-87-2,183814-30-4,,,,,,,,
DB00984,Nandrolone phenpropionate,62-90-8,229455.0,229455,62-90-8,,,,,,,,,,
DB00985,Dimenhydrinate,523-87-5,441281.0,10660,523-87-5,,,,,,,,,,
DB00986,Glycopyrronium,740028-90-4,9933193.0,3494,13283-82-4,51186-83-5,740028-90-4,596-51-0,,,,,,,
DB00987,Cytarabine,147-94-4,6253.0,6253,147-94-4,,,,,,,,,,
DB00988,Dopamine,51-61-6,681.0,681,51-61-6,50444-17-2,62-31-7,,,,,,,,
DB00989,Rivastigmine,123441-03-2,77991.0,77991,123441-03-2,,,,,,,,,,
DB00990,Exemestane,107868-30-4,60198.0,60198,107868-30-4,,,,,,,,,,
DB00991,Oxaprozin,21256-18-8,4614.0,4614,21256-18-8,,,,,,,,,,
DB00992,Methyl aminolevulinate,33320-16-0,157922.0,157922,33320-16-0,,,,,,,,,,
DB00993,Azathioprine,446-86-6,2265.0,2265,446-86-6,,,,,,,,,,
DB00995,Auranofin,34031-32-8,70788951.0,70788951,34031-32-8,,,,,,,,,,
DB00996,Gabapentin,60142-96-3,3446.0,3446,60142-96-3,,,,,,,,,,
DB00997,Doxorubicin,23214-92-8,31703.0,31703,25316-40-9,23214-92-8,64842-75-7,111266-55-8,1392315-46-6,,,,,,
DB00998,Frovatriptan,158747-02-5,77992.0,77992,158747-02-5,,,,,,,,,,
DB00999,Hydrochlorothiazide,58-93-5,3639.0,3639,58-93-5,,,,,,,,,,
DB01000,Cyclacillin,3485-14-1,19003.0,19003,3485-14-1,,,,,,,,,,
DB01001,Salbutamol,18559-94-9,2083.0,2083,18559-94-9,51022-70-9,,,,,,,,,
