DrugBank ID,Name,CAS Number,PubChem Compound ID,PubChem_CID,CAS_Rn0,CAS_Rn1,CAS_Rn2,CAS_Rn3,CAS_Rn4,CAS_Rn5,CAS_Rn6,CAS_Rn7,CAS_Rn8,CAS_Rn9,CAS_Rn10
DB00461,Nabumetone,42924-53-8,4409.0,4409,42924-53-8,,,,,,,,,,
DB00462,Methscopolamine bromide,155-41-9,23724781.0,23724781,155-41-9,,,,,,,,,,
DB00464,Sodium tetradecyl sulfate,139-88-8,23665772.0,23665772,139-88-8,,,,,,,,,,
DB00465,Ketorolac,74103-06-3,3826.0,3826,74103-06-3,66635-83-4,,,,,,,,,
DB00467,Enoxacin,74011-58-8,3229.0,3229,74011-58-8,,,,,,,,,,
DB00468,Quinine,130-95-0,3034034.0,3034034,72402-53-0,130-95-0,130-89-2,1407-83-6,6119-70-6,207671-44-1,804-63-7,,,,
DB00469,Tenoxicam,59804-37-4,54677971.0,54677971,59804-37-4,,,,,,,,,,
DB00470,Dronabinol,1972-08-3,16078.0,16078,1972-08-3,6465-30-1,,,,,,,,,
DB00471,Montelukast,158966-92-8,5281040.0,5281040,158966-92-8,,,,,,,,,,
DB00472,Fluoxetine,54910-89-3,3386.0,3386,54910-89-3,57226-07-0,,,,,,,,,
DB00473,Hexylcaine,532-77-4,10770.0,10770,532-77-4,,,,,,,,,,
DB00474,Methohexital,151-83-7,9034.0,9034,151-83-7,,,,,,,,,,
DB00475,Chlordiazepoxide,58-25-3,2712.0,2712,58-25-3,,,,,,,,,,
DB00476,Duloxetine,116539-59-4,60835.0,60835,116539-59-4,136434-34-9,,,,,,,,,
DB00477,Chlorpromazine,50-53-3,2726.0,2726,34468-21-8,50-53-3,,,,,,,,,
DB00478,Rimantadine,13392-28-4,5071.0,5071,13392-28-4,117857-51-9,,,,,,,,,
DB00479,Amikacin,37517-28-5,37768.0,37768,37517-28-5,,,,,,,,,,
DB00480,Lenalidomide,191732-72-6,216326.0,216326,191732-72-6,,,,,,,,,,
DB00481,Raloxifene,84449-90-1,5035.0,5035,84449-90-1,,,,,,,,,,
DB00482,Celecoxib,169590-42-5,2662.0,2662,169590-42-5,,,,,,,,,,
